,Gene name,Gene stable ID
0,snoZ6,ENSG00000264452
1,PVT1_3,ENSG00000278324
2,U6,ENSG00000283502
3,RN7SL836P,ENSG00000241226
4,RNU2-44P,ENSG00000252604
5,MIR6832,ENSG00000274494
6,Y_RNA,ENSG00000265896
7,MIR4659B,ENSG00000283386
8,Six3os1_1,ENSG00000274520
9,TP53TG1_1,ENSG00000273623
10,U6,ENSG00000264185
11,5_8S_rRNA,ENSG00000283568
12,U1,ENSG00000273768
13,Vault,ENSG00000252328
14,RNU6-673P,ENSG00000201954
15,RN7SL221P,ENSG00000239472
16,RNU6-2,ENSG00000207357
17,MIR1202,ENSG00000221456
18,MIR302C,ENSG00000199102
19,RNA5SP236,ENSG00000251978
20,MIR4435-1,ENSG00000265507
21,KCNQ1OT1_3,ENSG00000276494
22,MIR4633,ENSG00000264563
23,RNU6-1179P,ENSG00000207397
24,MIR2054,ENSG00000283550
25,Y_RNA,ENSG00000202388
26,MIR6806,ENSG00000277588
27,Y_RNA,ENSG00000207342
28,MIR6089,ENSG00000277120
29,RN7SL229P,ENSG00000242811
30,MIR4277,ENSG00000263746
31,SCARNA20,ENSG00000251818
32,Metazoa_SRP,ENSG00000277136
33,RNU2-64P,ENSG00000223247
34,RNA5SP508,ENSG00000223259
35,MIR1281,ENSG00000284015
36,U6,ENSG00000277546
37,MIR1283-1,ENSG00000221421
38,RNU1-7P,ENSG00000200975
39,RNU2-13P,ENSG00000251718
40,MIR7151,ENSG00000276866
41,Y_RNA,ENSG00000200591
42,RNA5SP94,ENSG00000252726
43,MIR4293,ENSG00000266321
44,RNU7-67P,ENSG00000239115
45,RNU6-572P,ENSG00000252533
46,TARM1,ENSG00000275806
47,U8,ENSG00000199713
48,RNU5E-6P,ENSG00000202444
49,MIR3137,ENSG00000265333
50,TUG1_2,ENSG00000276057
51,MIR548AE1,ENSG00000266808
52,SNORA30,ENSG00000206755
53,RNA5SP37,ENSG00000202290
54,MIR4273,ENSG00000266396
55,RNA5SP107,ENSG00000223290
56,Y_RNA,ENSG00000202410
57,MIR154,ENSG00000207978
58,Y_RNA,ENSG00000200011
59,Y_RNA,ENSG00000206738
60,RNU6-519P,ENSG00000222522
61,RNU6-10P,ENSG00000206763
62,SNORD92,ENSG00000264994
63,RN7SKP178,ENSG00000201875
64,SNORD46,ENSG00000201009
65,RN7SL123P,ENSG00000266863
66,MIR3917,ENSG00000283938
67,MIR1183,ENSG00000221783
68,RNU5B-4P,ENSG00000200378
69,TFPT,ENSG00000278161
70,MIR5696,ENSG00000264857
71,MIR3175,ENSG00000284324
72,SCARNA11,ENSG00000252727
73,Y_RNA,ENSG00000200982
74,MIR3913-2,ENSG00000283677
75,DLG2-AS1_1,ENSG00000274006
76,RN7SKP293,ENSG00000223321
77,JPX_1,ENSG00000274430
78,RNU5A-6P,ENSG00000206863
79,SNORD32B,ENSG00000265634
80,Xist_exon1,ENSG00000278039
81,uc_338,ENSG00000277826
82,RNA5SP109,ENSG00000212312
83,5S_rRNA,ENSG00000278779
84,SNORA1B,ENSG00000199405
85,SNORA43,ENSG00000253049
86,SCARNA21,ENSG00000251866
87,TCEAL9,ENSG00000185222
88,RN7SL741P,ENSG00000242381
89,Y_RNA,ENSG00000200494
90,RNU6-107P,ENSG00000252452
91,RN7SL659P,ENSG00000244104
92,Y_RNA,ENSG00000274754
93,SNORD30,ENSG00000212611
94,RNU4-91P,ENSG00000201648
95,RN7SL278P,ENSG00000243365
96,MIR8052,ENSG00000274999
97,SNORA38,ENSG00000263994
98,snoMe28S-Am2634,ENSG00000283584
99,SNORA16B,ENSG00000201544
100,RN7SL107P,ENSG00000243424
