Entry	Gene names
Q13542	EIF4EBP2
Q5TYW2	ANKRD20A1 ANKRD20A
A0PJZ0	ANKRD20A5P ANKRD20A5
A7E2S9	ANKRD30BL NCRNA00164
P29275	ADORA2B
P31941	APOBEC3A
Q6NTF7	APOBEC3H
Q9BZC7	ABCA2 ABC2 KIAA1062
Q8WWZ4	ABCA10
Q86UQ4	ABCA13
O95342	ABCB11 BSEP
Q96J66	ABCC11 MRP8
P33897	ABCD1 ALD
P36544	CHRNA7 NACHRA7
P17787	CHRNB2
Q9Y615	ACTL7A
P11229	CHRM1
P08173	CHRM4
Q9UKU0	ACSL6 ACS2 FACL6 KIAA0837 LACS5
P0C7M7	ACSM4
P62736	ACTA2 ACTSA ACTVS GIG46
P68133	ACTA1 ACTA
P18825	ADRA2C ADRA2L2 ADRA2RL2
O00116	AGPS AAG5
Q96PN6	ADCY10 SAC
P35611	ADD1 ADDA
P35612	ADD2 ADDB
O15204	ADAMDEC1
P61981	YWHAG
P31947	SFN HME1
P27348	YWHAQ
P04439	HLA-A HLAA
P13746	HLA-A HLAA
Q96QU6	ACCS PHACS
P18462	HLA-A HLAA
P16188	HLA-A HLAA
P30457	HLA-A HLAA
P10316	HLA-A HLAA
Q09160	HLA-A HLAA
P30460	HLA-B HLAB
P30685	HLA-B HLAB
Q14738	PPP2R5D
P08195	SLC3A2 MDU1
P28222	HTR1B HTR1DB
P28221	HTR1D HTR1DA HTRL
O95264	HTR3B
Q96P26	NT5C1B AIRP FKSG85
P52209	PGD PGDH
Q4UJ75	ANKRD20A4
Q9NRW3	APOBEC3C APOBEC1L PBI
Q8IZY2	ABCA7
Q9NP58	ABCB6 MTABC3 PRP UMAT
Q9NP78	ABCB9 KIAA1520
O60706	ABCC9 SUR2
Q9UBJ2	ABCD2 ALD1 ALDL1 ALDR ALDRP
P45844	ABCG1 ABC8 WHT1
Q6UXT9	ABHD15 UNQ6510/PRO21435
Q7L211	ABHD13 C13orf6
Q9P1F3	ABRACL C6orf115 HSPC280 PRO2013
Q8N0Z2	ABRA
O00590	ACKR2 CCBP2 CCR10 CMKBR9 D6
Q5JWF8	ACTL10 C20orf134
Q8WXI4	ACOT11 BFIT KIAA0707 THEA
Q8N1Q8	THEM5 ACOT15
Q96CM8	ACSF2 UNQ493/PRO1009
O95573	ACSL3 ACS3 FACL3 LACS3
P01011	SERPINA3 AACT GIG24 GIG25
Q8N5Z0	AADAT KAT2
Q9BTE6	AARSD1
Q6PCB6	ABHD17C FAM108C1
O14678	ABCD4 PXMP1L
Q9H222	ABCG5
Q8N2K0	ABHD12 C20orf22
Q8WW27	APOBEC4 C1orf169
O14639	ABLIM1 ABLIM KIAA0059 LIMAB1
Q709F0	ACAD11
P11230	CHRNB1 ACHRB CHRNB
Q8NEB7	ACRBP
Q9NUB1	ACSS1 ACAS2L KIAA1846
Q4G176	ACSF3 PSEC0197
P33121	ACSL1 FACL1 FACL2 LACS LACS1 LACS2
Q53FZ2	ACSM3 SAH
Q6NUN0	ACSM5 MACS3
Q8TC94	ACTL9 ACTL7C HSD21
Q13444	ADAM15 MDC15
P78536	ADAM17 CSVP TACE
P25100	ADRA1D ADRA1A
O43506	ADAM20
Q9BUB4	ADAT1
Q7Z6V5	ADAT2 DEADC1
P30462	HLA-B HLAB
P30466	HLA-B HLAB
Q04826	HLA-B HLAB
P30480	HLA-B HLAB
P30484	HLA-B HLAB
P30487	HLA-B HLAB
P18464	HLA-B HLAB
P30495	HLA-B HLAB
P30498	HLA-B HLAB
Q29718	HLA-B HLAB
P30501	HLA-C HLAC
