,DrugBank ID,Drug Name,Drug Type,UniProt ID,Protein Names,Gene Symbol,Length
0,DB00001,Lepirudin,BiotechDrug,P00734,Prothrombin,F2,622.0
1,DB00002,Cetuximab,BiotechDrug,P00533,Epidermal growth factor receptor,EGFR,1210.0
2,DB00002,Cetuximab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,233.0
3,DB00002,Cetuximab,BiotechDrug,P00736,Complement C1r subcomponent,C1R,705.0
4,DB00002,Cetuximab,BiotechDrug,P02745,Complement C1q subcomponent subunit A,C1QA,245.0
5,DB00002,Cetuximab,BiotechDrug,P02746,Complement C1q subcomponent subunit B,C1QB,253.0
6,DB00002,Cetuximab,BiotechDrug,P02747,Complement C1q subcomponent subunit C,C1QC,245.0
7,DB00002,Cetuximab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,254.0
8,DB00002,Cetuximab,BiotechDrug,P09871,Complement C1s subcomponent,C1S,688.0
9,DB00002,Cetuximab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,374.0
10,DB00002,Cetuximab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,317.0
11,DB00002,Cetuximab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,310.0
12,DB00002,Cetuximab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,323.0
13,DB00004,Denileukin diftitox,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha,IL2RA,272.0
14,DB00004,Denileukin diftitox,BiotechDrug,P14784,Interleukin-2 receptor subunit beta,IL2RB,551.0
15,DB00004,Denileukin diftitox,BiotechDrug,P31785,Cytokine receptor common subunit gamma,IL2RG,369.0
16,DB00005,Etanercept,BiotechDrug,P01375,Tumor necrosis factor,TNF,233.0
17,DB00005,Etanercept,BiotechDrug,P20333,Tumor necrosis factor receptor superfamily member 1B,TNFRSF1B,461.0
18,DB00005,Etanercept,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,374.0
19,DB00005,Etanercept,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,254.0
20,DB00005,Etanercept,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,317.0
21,DB00005,Etanercept,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,310.0
22,DB00005,Etanercept,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,323.0
23,DB00005,Etanercept,BiotechDrug,P01374,Lymphotoxin-alpha,LTA,205.0
24,DB00005,Etanercept,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,233.0
25,DB00005,Etanercept,BiotechDrug,P09871,Complement C1s subcomponent,C1S,688.0
26,DB00005,Etanercept,BiotechDrug,P00736,Complement C1r subcomponent,C1R,705.0
27,DB00005,Etanercept,BiotechDrug,P02745,Complement C1q subcomponent subunit A,C1QA,245.0
28,DB00005,Etanercept,BiotechDrug,P02746,Complement C1q subcomponent subunit B,C1QB,253.0
29,DB00005,Etanercept,BiotechDrug,P02747,Complement C1q subcomponent subunit C,C1QC,245.0
30,DB00006,Bivalirudin,SmallMoleculeDrug,P00734,Prothrombin,F2,622.0
31,DB00007,Leuprolide,BiotechDrug,P30968,Gonadotropin-releasing hormone receptor,GNRHR,328.0
32,DB00008,Peginterferon alfa-2a,BiotechDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
33,DB00008,Peginterferon alfa-2a,BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
34,DB00009,Alteplase,BiotechDrug,P00747,Plasminogen,PLG,810.0
35,DB00009,Alteplase,BiotechDrug,P02671,Fibrinogen alpha chain,FGA,866.0
36,DB00009,Alteplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,335.0
37,DB00009,Alteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,SERPINE1,402.0
38,DB00010,Sermorelin,BiotechDrug,Q02643,Growth hormone-releasing hormone receptor,GHRHR,423.0
39,DB00011,Interferon alfa-n1,BiotechDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
40,DB00011,Interferon alfa-n1,BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
41,DB00012,Darbepoetin alfa,BiotechDrug,P19235,Erythropoietin receptor,EPOR,508.0
42,DB00013,Urokinase,BiotechDrug,P00747,Plasminogen,PLG,810.0
43,DB00013,Urokinase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,335.0
44,DB00013,Urokinase,BiotechDrug,P00749,Urokinase-type plasminogen activator,PLAU,431.0
45,DB00013,Urokinase,BiotechDrug,P00750,Tissue-type plasminogen activator,PLAT,562.0
46,DB00013,Urokinase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,SERPINE1,402.0
47,DB00013,Urokinase,BiotechDrug,P05120,Plasminogen activator inhibitor 2,SERPINB2,415.0
48,DB00013,Urokinase,BiotechDrug,P05154,Plasma serine protease inhibitor,SERPINA5,406.0
49,DB00013,Urokinase,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2,LRP2,4655.0
50,DB00013,Urokinase,BiotechDrug,Q9Y5Y6,Suppressor of tumorigenicity 14 protein,ST14,855.0
51,DB00013,Urokinase,BiotechDrug,P14543,Nidogen-1,NID1,1247.0
52,DB00014,Goserelin,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,699.0
53,DB00014,Goserelin,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,GNRHR,328.0
54,DB00015,Reteplase,BiotechDrug,P00747,Plasminogen,PLG,810.0
55,DB00015,Reteplase,BiotechDrug,P02671,Fibrinogen alpha chain,FGA,866.0
56,DB00015,Reteplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,335.0
57,DB00015,Reteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,SERPINE1,402.0
58,DB00016,Erythropoietin,BiotechDrug,P19235,Erythropoietin receptor,EPOR,508.0
59,DB00017,Salmon Calcitonin,BiotechDrug,P30988,Calcitonin receptor,CALCR,508.0
60,DB00018,Interferon alfa-n3,BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
61,DB00018,Interferon alfa-n3,BiotechDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
62,DB00019,Pegfilgrastim,BiotechDrug,Q99062,Granulocyte colony-stimulating factor receptor,CSF3R,836.0
63,DB00019,Pegfilgrastim,BiotechDrug,P08246,Neutrophil elastase,ELANE,267.0
64,DB00020,Sargramostim,BiotechDrug,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,400.0
65,DB00020,Sargramostim,BiotechDrug,P26951,Interleukin-3 receptor subunit alpha,IL3RA,378.0
66,DB00020,Sargramostim,BiotechDrug,P32927,Cytokine receptor common subunit beta,CSF2RB,897.0
67,DB00020,Sargramostim,BiotechDrug,P34741,Syndecan-2,SDC2,201.0
68,DB00020,Sargramostim,BiotechDrug,P13727,Bone marrow proteoglycan,PRG2,222.0
69,DB00021,Secretin,BiotechDrug,P47872,Secretin receptor,SCTR,440.0
70,DB00022,Peginterferon alfa-2b,BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
71,DB00022,Peginterferon alfa-2b,BiotechDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
72,DB00024,Thyrotropin Alfa,BiotechDrug,P16473,Thyrotropin receptor,TSHR,764.0
73,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,P00742,Coagulation factor X,F10,488.0
74,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,P00740,Coagulation factor IX,F9,461.0
75,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,P04275,von Willebrand factor,VWF,2813.0
76,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,O14832,"Phytanoyl-CoA dioxygenase, peroxisomal",PHYH,338.0
77,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,P07307,Asialoglycoprotein receptor 2,ASGR2,311.0
78,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,P11021,78 kDa glucose-regulated protein,HSPA5,654.0
79,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,P27797,Calreticulin,CALR,417.0
80,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,P27824,Calnexin,CANX,592.0
81,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,P49257,Protein ERGIC-53,LMAN1,510.0
82,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1,4544.0
83,DB00025,Antihemophilic Factor (Recombinant),BiotechDrug,Q8NI22,Multiple coagulation factor deficiency protein 2,MCFD2,146.0
84,DB00026,Anakinra,BiotechDrug,P14778,Interleukin-1 receptor type 1,IL1R1,569.0
85,DB00028,Immune Globulin Human,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,374.0
86,DB00028,Immune Globulin Human,BiotechDrug,Q92637,High affinity immunoglobulin gamma Fc receptor IB,FCGR1B,280.0
87,DB00028,Immune Globulin Human,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,317.0
88,DB00028,Immune Globulin Human,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,310.0
89,DB00028,Immune Globulin Human,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,323.0
90,DB00028,Immune Globulin Human,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,254.0
91,DB00028,Immune Globulin Human,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,233.0
92,DB00028,Immune Globulin Human,BiotechDrug,P01024,Complement C3,C3,1663.0
93,DB00028,Immune Globulin Human,BiotechDrug,P0C0L4,Complement C4-A,C4A,1744.0
94,DB00028,Immune Globulin Human,BiotechDrug,P0C0L5,Complement C4-B,C4B,1744.0
95,DB00028,Immune Globulin Human,BiotechDrug,P01031,Complement C5,C5,1676.0
96,DB00029,Anistreplase,BiotechDrug,P00747,Plasminogen,PLG,810.0
97,DB00029,Anistreplase,BiotechDrug,P02671,Fibrinogen alpha chain,FGA,866.0
98,DB00029,Anistreplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,335.0
99,DB00029,Anistreplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,SERPINE1,402.0
100,DB00030,Insulin Human,BiotechDrug,P06213,Insulin receptor,INSR,1382.0
101,DB00030,Insulin Human,BiotechDrug,P08069,Insulin-like growth factor 1 receptor,IGF1R,1367.0
